ཀ་ཡེ,ཀ་ཡེ་
རྨུར,དམུར་
རྨེ,༡.་བཤད་པའི་བརྡ་རྙིང་།༢.སྨེ་
རྨོངས,བླུན་རྨོངས་ཞེས་པ་ལྟ་བུ།༣.རྨོང་
རྩངས,རྩང་
རྩིགས་མ,རྩིག་མ་
རྩེལ,སྩེལ་
རྫུབ,༡.་རྫུབས་
རློག,རླག་
ལུག་གུ,ལུ་གུ་
ལོན,གཏེར་ཁ་ནས་དངུལ་རྡོ་ལོན་ལྟ་བུ།༣.ལན་
ལྐུག་པ,ལྐུགས་པ་
ལྕིད,ལྗིད་
ལྕུང་ག,སྐྱུང་ཀ་
ལྕེ་སྤྱང,ཅེ་སྤྱང་
ལྗིབས,ལྕིབས་
ལྟབ,ལྟེབ་
ལྟོབས,ལྟེམས་
ལྷེབས,ལྷབས་
ལྷོགས,༡.་རློ་གས་,༡.་རློ་གས་ཀྱི་འབྲི་ཚུལ་གཞན།༢.ཀློགས་
ལྷོན,གློན་
ཤ་ཚེ,གཤའ་ཚེ་
ཤེ,ཤེད་
ཤོག་ཀ,གཤོག་ཀ་
ཤོགས་ཀ,གཤོག་ཀ་
ཤོས་བུ,བཤོས་བུ་
ཤྭ་བ,ཤྭ་བ་
སག་རྡར,སེག་རྡར་
སར་བ,གསར་བ་ཞེས་པ་
སུག་མེལ,སུག་སྨེལ་
སུང,སུངས་
སེག,ཟེགས་མ་
སེལ་བོ,སླེ་བོ་
སོག,༢་གསག་གི་ད་ལྟ་བ་
སོགས,གསག་གི་ད་ལྟ་བ་དང་སྐུལ་ཚིག་
སོབ,ས་སོབ་ན་མྱུག་གུ་འབུས་སླ་ལྟ་བུ།༢.བསབ་ཀྱི་སྐུལ་ཚིག་
སོས,སྤྱི་ཚོགས་རྙིང་བར་དབུལ་བོས་ཁ་སོས་དཀའ་ལྟ་བུ།༢.གསོ་ཡི་སྐུལ་ཚིག་
སྐམ,༡.་སྐམ་པོ་ཡི་ཚིག་བསྡུས་པ།༢.སྐམས་
སྐེ་ཚེ,ཀེ་ཚེ་
སྐེ་རགས,སྐ་རགས་
སྐེག,སྐག་
སྐེད,རྐེད་
སྐྱིགས་བུ,སྐྱིག་པ་
སྐྱིལ་ཀྲུང,དཀྱིལ་དཀྲུང་
སྐྱུང་བོ,སྐྱུང་བུ་
སྐྱེ་ཀ,སྐྱ་ཀ་
སྐྱེགས,སྐེགས་
སྐྱེར་མ,དྲེས་མ་
སྐྱོང་བུ,ཀྱོང་བུ་
སྐྲང,སྐྲངས་
སྐྲོག,དཀྲོག་
སྒ,༡.་རྟ་བོང་དང་བ་ལང་སོགས་ཀྱི་རྒྱབ་ལ་བསྟད་ནས་བཞོན་པ་དང་ཁལ་འགེལ་བའི་ཡོ་བྱད།༢.ལྒ་
སྒང,སྒང་གཤོང་ཞེས་པ་ལྟ་བུ།༣.རྒང་
སྒེ་ཁུང,སྒེའུ་ཁུང་
སྒྱུངས,རྒྱུངས་
སྒྱེད་པུ,སྒྱིད་པུ་
སྒྱོ་བ,སྒྲོ་བ་
སྒྲིམ,གྲི་མ་པོ་
སྒྲོ་གུ,སྒྲོག་གུ་
སྙ,རྨྱ་
སྙུགས་མ,གཉུག་མ་
སྙེད,སློབ་སྦྱོང་དེ་སྙེད་ཅིག་བྱེད་དགོས་ལྟ་བུ།༢.རྨེད་
སྟག,ཏ་ཟིག་ཅེས་པ་
སྟར,སྟར་ཀ་
སྟོངས,སྡོངས་གྲོགས་
སྡིག,བེར་སྡིག་སློག་སྡིག་སྒྱེ་སྡིག་ཅེས་པ་ལྟ་བུ།༢.རྡིག་
སྡུ,སྡུད་
སྡུག་གུ,སྡུ་གུ་
སྣ་ཁ,སྣ་ག་
སྣ་རུ,ན་རོ་
སྣ་རོ,ན་རོ་
སྣར,སྣོར་གྱི་ད་ལྟ་བ་
སྤུར,ཐལ་བ་རླུང་གིས་སྤུར་ལྟ་བུ།༢.པུར་
སྤེ་ལིང,པེ་ལེན་
སྤོ་ཐོ,པོ་ཐོ་
སྤྱི་བཏང,སྤྱིར་བཏང་
སྤྲ་ཚིལ,པྲ་ཚིལ་
སྤྲེ,སྤྲེའུ་
སྦར་མོ,སྤར་མོ་
སྦུང,འབུང་
སྦུངས,༡.་འབུང་གི་འདས་པ་དང་སྐུལ་ཚིག་
སྦུན་པ,སྤུན་པ་
སྦྲད,འབྲད་
སྨིག་མ,སྨྱུག་མ་
སྨུགས་པ,སྨུག་པ་
སྨེག,རྨེག་
སྨྱང,རྨྱང་
སྨྱི་གུ,སྨྱུག་གུ་
སྨྱིག་མ,སྨྱུག་མ་
སྨྱུ་གུ,སྨྱུག་གུ་
སྲིབས,༡.་སྲིབ་
ཧྲང,ཧྲེང་
ཧྲེངས,ཧྲེང་
ཨ་ཕྲག,ཨ་མ་ཕྲག་
ཨ་ལུང,ཨ་ལོང་
ཨོལ་རྔམས,འོལ་རྔམས་
